gene-name	chromosome	start	stop
SRY	Y	2654896	2655740
RPS4Y1	Y	2709527	2734997
ZFY	Y	2803112	2850547
TGIF2LY	Y	3447096	3448082
PCDH11Y	Y	4868267	5610265
TSPY1	Y	6114264	6117060
AMELY	Y	6733959	6742068
TBL1Y	Y	6778727	6959724
PRKY	Y	7142013	7287850
TSPY4	Y	9175071	9177893
TSPY8	Y	9195406	9218479
TSPY3	Y	9236030	9327689
AC006156.1	Y	9293012	9323893
TSPY10	Y	9365489	9368291
AC006156.4	Y	9374241	9384693
AC134878.1	Y	13309478	13370683
AC134882.3	Y	13500629	13524672
GYG2P	Y	14475147	14532255
USP9Y	Y	14813160	14972764
DDX3Y	Y	15016019	15032390
UTY	Y	15360259	15592553
TMSB4Y	Y	15815447	15817904
VCY1B	Y	16097652	16098393
VCY	Y	16168097	16168838
AC010720.1	Y	16239571	16434757
NLGN4Y	Y	16634518	16957530
AC007972.1	Y	19265601	19438321
CDY2A	Y	19990140	19992099
AC009976.6	Y	20137669	20140477
AC007241.1	Y	20489764	20826411
HSFY1	Y	20708557	20750849
AC009235.1	Y	20842434	21082422
HSFY2	Y	20893326	20935621
AC010133.1	Y	21463497	21477861
CYorf15A	Y	21729235	21752309
CYorf15B	Y	21752639	21768160
KDM5D	Y	21865751	21906809
EIF1AY	Y	22737611	22755040
RPS4Y2	Y	22918050	22942918
AC010086.2	Y	23544840	23613732
RBMY1B	Y	23673224	23687672
RBMY1A1	Y	23673264	23711212
AC021107.1	Y	23762090	23763834
RBMY1E	Y	24026223	24064214
RBMY1D	Y	24026223	24040673
PRY	Y	24217903	24242154
RBMY1F	Y	24314689	24329104
RBMY1J	Y	24455004	24564028
AC008175.3	Y	24636544	24660784
BPY2	Y	25130410	25151612
DAZ1	Y	25275502	25345241
DAZ2	Y	25365594	25437503
PRYP3	Y	25827587	25840726
CDY1B	Y	26191376	26194166
BPY2B	Y	26764151	26785354
DAZ3	Y	26909216	26959626
DAZ4	Y	26979980	27053187
BPY2C	Y	27177048	27198251
CDY1	Y	27768264	27771049
PRYP4	Y	28121644	28134783
RP11-683L23.1	18	47390	49557
AP001005.2	18	109065	122217
USP14	18	158480	213739
THOC1	18	214527	268059
COLEC12	18	319355	500729
CETN1	18	580367	581524
CLUL1	18	596998	650291
C18orf56	18	649621	658340
TYMS	18	657604	673578
ENOSF1	18	672557	712676
YES1	18	721588	812327
ADCYAP1	18	904944	912173
C18orf2	18	1269177	1359630
METTL4	18	2537524	2571508
NDC80	18	2571510	2616634
AP001011.2	18	2655886	2805015
EMILIN2	18	2847028	2914090
LPIN2	18	2916992	3013313
MYOM1	18	3066805	3220106
MYL12A	18	3247528	3256234
MYL12B	18	3261907	3278282
TGIF1	18	3412072	3458409
DLGAP1	18	3496030	3880135
AP002478.3	18	3594112	3598350
AP002478.4	18	3602998	3604384
AP005380.1	18	5145561	5145767
AP001496.1	18	5232875	5238332
ZFP161	18	5289018	5296039
EPB41L3	18	5392383	5544241
TMEM200C	18	5890184	5892103
L3MBTL4	18	5954705	6414910
ARHGAP28	18	6729821	6915699
LAMA1	18	6941743	7117813
LRRC30	18	7231137	7232042
PTPRM	18	7567817	8406859
RAB12	18	8609443	8639380
KIAA0802	18	8705659	8832776
NDUFV2	18	9102628	9134343
